"PAG_NAME","ITM_NAME","CDL_NAME","CODE","DECODE","LAST_UPDATE"
"CURRCOND","CONDCAT","CONCAT","1L","Gynecological/Urologic","2010-12-06 07:13:10.0"
"CURRCOND","CONDCAT","CONCAT","1M","Musculoskeletal","2010-12-06 07:13:10.0"
"CURRCOND","CONDCAT","CONCAT","1N","Metabolic/Endocrine","2010-12-06 07:13:10.0"
"CURRCOND","CONDCAT","CONCAT","1O","Hemato/Lymphatic","2010-12-06 07:13:10.0"
"CURRCOND","CONDCAT","CONCAT","1P","Neurologic","2010-12-06 07:13:10.0"
"CURRCOND","CONDCAT","CONCAT","1Q","Psychiatric","2010-12-06 07:13:10.0"
"CURRCOND","CONDCAT","CONCAT","1R","Allergy/Immunologic","2010-12-06 07:13:10.0"
"CURRCOND","CONDCAT","CONCAT","1S","Other","2010-12-06 07:13:10.0"
"CURRCOND","DXYREST","DXYREST","ACT","Actual (ACT)","2010-12-06 07:13:10.0"
"CURRCOND","DXYREST","DXYREST","YEAR","Year Est (YEAR)","2010-12-06 07:13:10.0"
"CURRCOND","RESOLVD","YN","0","No","2010-12-06 07:13:10.0"
"CURRCOND","RESOLVD","YN","1","Yes","2010-12-06 07:13:10.0"
"DATSCAN","DATSCAN","CMPLT2","0","Not Completed","2010-12-06 07:13:10.0"
"DATSCAN","DATSCAN","CMPLT2","1","Completed","2010-12-06 07:13:10.0"
"DATSCAN","DATXFRYN","YN","0","No","2010-12-06 07:13:10.0"
"DATSCAN","DATXFRYN","YN","1","Yes","2010-12-06 07:13:10.0"
"DATSCAN","RSLTNGAE","YN","1","Yes","2011-02-20 00:30:13.0"
"DATSCAN","RSLTNGAE","YN","0","No","2011-02-20 00:30:13.0"
"DNA","BLDDNA","LAB","0","Not collected","2010-12-06 07:13:10.0"
"DNA","BLDDNA","LAB","1","Collected","2010-12-06 07:13:10.0"
"EPWORTH","PTCGBOTH","PTCGBOTH","1","Patient","2010-12-06 07:13:10.0"
"EPWORTH","PTCGBOTH","PTCGBOTH","2","Caregiver","2010-12-06 07:13:10.0"
"EPWORTH","PTCGBOTH","PTCGBOTH","3","Patient and Caregiver","2010-12-06 07:13:10.0"
"GENPHYEX","ABNORM","ABNORM","0","Normal","2010-12-06 07:13:10.0"
"GENPHYEX","ABNORM","ABNORM","1","Abnormal","2010-12-06 07:13:10.0"
"GENPHYEX","ABNORM","ABNORM","2","Not tested","2010-12-06 07:13:10.0"
"GENPHYEX","ABNORM","ABNORM","3","Unable to test","2010-12-06 07:13:10.0"
"INEX","ELIGIBIL","YN","0","No","2010-12-06 07:13:10.0"
"INEX","ELIGIBIL","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX1","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX1","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX10","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX10","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX11","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX11","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX2","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX2","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX21","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX21","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX22","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX22","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX23","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX23","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX24","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX24","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX25","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX25","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX26","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX26","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX27","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX27","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX28","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX28","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX29","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX29","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX3","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX3","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX30","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX30","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX31","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX31","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX32","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX32","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX33","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX33","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX34","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX34","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX35","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX35","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX4","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX4","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX5","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX5","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX6","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX6","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX7","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX7","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX8","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX8","YN","1","Yes","2010-12-06 07:13:10.0"
"INEX","INEX9","YN","0","No","2010-12-06 07:13:10.0"
"INEX","INEX9","YN","1","Yes","2010-12-06 07:13:10.0"
"LAB","BLDLAB","LAB","0","Not collected","2010-12-06 07:13:10.0"
"LAB","BLDLAB","LAB","1","Collected","2010-12-06 07:13:10.0"
"LAB","BLDPLAS","LAB","0","Not collected","2010-12-06 07:13:10.0"
"LAB","BLDPLAS","LAB","1","Collected","2010-12-06 07:13:10.0"
"LAB","BLDRNA","LAB","0","Not collected","2010-12-06 07:13:10.0"
"LAB","BLDRNA","LAB","1","Collected","2010-12-06 07:13:10.0"
"LAB","BLDSER","LAB","0","Not collected","2010-12-06 07:13:10.0"
"LAB","BLDSER","LAB","1","Collected","2010-12-06 07:13:10.0"
"LAB","PDMEDYN","YN","0","No","2010-12-06 07:13:10.0"
"LAB","PDMEDYN","YN","1","Yes","2010-12-06 07:13:10.0"
"LAB","UASPEC","LAB","0","Not collected","2010-12-06 07:13:10.0"
"LAB","UASPEC","LAB","1","Collected","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT1","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT1","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT10","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT10","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT11","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT11","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT12","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT12","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT13","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT13","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT14","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT14","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT15","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT15","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT16","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT16","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT17","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT17","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT18","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT18","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT19","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT19","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT2","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT2","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT20","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT20","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT21","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT21","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT22","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT22","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT23","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT23","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT24","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT24","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT25","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT25","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT26","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT26","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT27","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT27","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT28","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT28","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT29","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT29","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT3","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT3","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT30","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT30","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT4","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT4","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT5","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT5","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT6","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT6","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT7","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT7","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT8","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT8","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT9","CORRECT","0","Incorrect","2010-12-06 07:13:10.0"
"LINEORNT","BJLOT9","CORRECT","1","Correct","2010-12-06 07:13:10.0"
"ALL","EVENT_ID","EVENT_ID","AV2","Unscheduled Telephone AV-133","2012-09-16 00:30:22.0"
"ALL","EVENT_ID","EVENT_ID","AV1","Unscheduled Telephone AV-133","2012-09-16 00:30:22.0"
"LUMBAR","CSFMETHD","CSFMETHD","1","Gravity","2010-12-06 07:13:10.0"
"LUMBAR","CSFMETHD","CSFMETHD","2","Syringe suction","2010-12-06 07:13:10.0"
"LUMBAR","CSFNEEDL","CSFNEEDL","1","20g Quincke (sharp bevelled) needle","2010-12-06 07:13:10.0"
"LUMBAR","CSFNEEDL","CSFNEEDL","2","22g Quincke (sharp bevelled) needle","2010-12-06 07:13:10.0"
"LUMBAR","CSFNEEDL","CSFNEEDL","3","25g Quincke (sharp bevelled) needle","2010-12-06 07:13:10.0"
"LUMBAR","CSFNEEDL","CSFNEEDL","4","22g Sprotte (atraumatic) needle","2010-12-06 07:13:10.0"
"LUMBAR","CSFNEEDL","CSFNEEDL","5","24g Sprotte (atraumatic) needle","2010-12-06 07:13:10.0"
"LUMBAR","CSFNEEDL","CSFNEEDL","6","18g","2010-12-06 07:13:10.0"
"LUMBAR","FLUORO","YN","0","No","2010-12-06 07:13:10.0"
"LUMBAR","FLUORO","YN","1","Yes","2010-12-06 07:13:10.0"
"LUMBAR","LPPOSITN","LPPOSITN","1","Sitting, leaned over","2010-12-06 07:13:10.0"
"LUMBAR","LPPOSITN","LPPOSITN","2","Lying, curled up on side","2010-12-06 07:13:10.0"
"LUMBAR","LPPOSITN","LPPOSITN","3","Unknown","2010-12-06 07:13:10.0"
"LUMBAR","LPSITE","LPSITE","1","L3-L4 Interspace","2010-12-06 07:13:10.0"
"LUMBAR","LPSITE","LPSITE","2","L4-L5 Interspace","2011-06-12 00:30:16.0"
"LUMBAR","LPSITE","LPSITE","3","Unknown","2010-12-06 07:13:10.0"
"LUMBAR","PDMEDYN","YN","0","No","2010-12-06 07:13:10.0"
"LUMBAR","PDMEDYN","YN","1","Yes","2010-12-06 07:13:10.0"
"LUMBAR","RBCUNIT","BCUNIT","10^3 mcL","10^3 mcL","2010-12-06 07:13:10.0"
"LUMBAR","RBCUNIT","BCUNIT","10^9 mcL","10^9 mcL","2010-12-06 07:13:10.0"
"LUMBAR","SMPDSCRD","YN","0","No","2010-12-06 07:13:10.0"
"LUMBAR","SMPDSCRD","YN","1","Yes","2010-12-06 07:13:10.0"
"LUMBAR","SMPLOCAL","YN","0","No","2010-12-06 07:13:10.0"
"LUMBAR","SMPLOCAL","YN","1","Yes","2010-12-06 07:13:10.0"
"LUMBAR","SPFI","YN","0","No","2010-12-06 07:13:10.0"
"LUMBAR","SPFI","YN","1","Yes","2010-12-06 07:13:10.0"
"LUMBAR","TGLCUNIT","TGLCUNIT","mg/dL","mg/dL","2010-12-06 07:13:10.0"
"LUMBAR","TGLCUNIT","TGLCUNIT","mmol/L","mmol/L","2010-12-06 07:13:10.0"
"LUMBAR","TOPRUNIT","TOPRUNIT","g/L","g/L","2010-12-06 07:13:10.0"
"LUMBAR","TOPRUNIT","TOPRUNIT","g/dL","g/dL","2010-12-06 07:13:10.0"
"LUMBAR","TOPRUNIT","TOPRUNIT","mg/dL","mg/dL","2010-12-06 07:13:10.0"
"LUMBAR","WBCUNIT","BCUNIT","10^3 mcL","10^3 mcL","2010-12-06 07:13:10.0"
"LUMBAR","WBCUNIT","BCUNIT","10^9 mcL","10^9 mcL","2010-12-06 07:13:10.0"
"MHXGEN","MHACTRES","STATUS","1","Active","2010-12-06 07:13:10.0"
"MHXGEN","MHACTRES","STATUS","2","Resolved","2010-12-06 07:13:10.0"
"MHXGEN","MHHX","YNONE","0","None","2010-12-06 07:13:10.0"
"MHXGEN","MHHX","YNONE","1","Yes","2010-12-06 07:13:10.0"
"MRI","MRICMPLT","CMPLT2","0","Not Completed","2010-12-06 07:13:10.0"
"MRI","MRICMPLT","CMPLT2","1","Completed","2010-12-06 07:13:10.0"
"MRI","MRIRSLT","NORMABCS","1","Normal","2010-12-06 07:13:10.0"
"MRI","MRIRSLT","NORMABCS","2","Abnormal, not clinically significant","2010-12-06 07:13:10.0"
"MRI","MRIRSLT","NORMABCS","3","Abnormal, clinically significant","2010-12-06 07:13:10.0"
"MRI","MRIWDTI","YN","0","No","2010-12-06 07:13:10.0"
"MRI","MRIWDTI","YN","1","Yes","2010-12-06 07:13:10.0"
"MRI","MRIXFRYN","YN","0","No","2010-12-06 07:13:10.0"
"MRI","MRIXFRYN","YN","1","Yes","2010-12-06 07:13:10.0"
"NUPDRS1","NUPSOURC","NUPDRSRC","1","Patient","2010-12-06 07:13:10.0"
"NUPDRS1","NUPSOURC","NUPDRSRC","2","Caregiver","2010-12-06 07:13:10.0"
"NUPDRS1","NUPSOURC","NUPDRSRC","3","Patient and Caregiver - Equal Proportion","2010-12-06 07:13:10.0"
"NUPDRS1P","NUPSOURC","NUPDRSRC","1","Patient","2010-12-06 07:13:10.0"
"NUPDRS1P","NUPSOURC","NUPDRSRC","2","Caregiver","2010-12-06 07:13:10.0"
"NUPDRS1P","NUPSOURC","NUPDRSRC","3","Patient and Caregiver - Equal Proportion","2010-12-06 07:13:10.0"
"NUPDRS2P","NUPSOURC","NUPDRSRC","1","Patient","2010-12-06 07:13:10.0"
"NUPDRS2P","NUPSOURC","NUPDRSRC","2","Caregiver","2010-12-06 07:13:10.0"
"NUPDRS2P","NUPSOURC","NUPDRSRC","3","Patient and Caregiver - Equal Proportion","2010-12-06 07:13:10.0"
"NUPDRS3","DYSKIRAT","YN","0","No","2010-12-06 07:13:10.0"
"NUPDRS3","DYSKIRAT","YN","1","Yes","2010-12-06 07:13:10.0"
"NUPDRS3","DYSKPRES","YN","0","No","2010-12-06 07:13:10.0"
"NUPDRS3","DYSKPRES","YN","1","Yes","2010-12-06 07:13:10.0"
"PDFEAT","DOMSIDE","SIDEAFF","1","Left","2010-12-06 07:13:10.0"
"PDFEAT","DOMSIDE","SIDEAFF","2","Right","2010-12-06 07:13:10.0"
"PDFEAT","DOMSIDE","SIDEAFF","3","Symmetric","2010-12-06 07:13:10.0"
"PDFEAT","DXBRADY","YNUNK","0","No","2010-12-06 07:13:10.0"
"PDFEAT","DXBRADY","YNUNK","1","Yes","2010-12-06 07:13:10.0"
"PDFEAT","DXBRADY","YNUNK","U","Unknown","2010-12-06 07:13:10.0"
"PDFEAT","DXOTHSX","YNUNK","0","No","2010-12-06 07:13:10.0"
"PDFEAT","DXOTHSX","YNUNK","1","Yes","2010-12-06 07:13:10.0"
"PDFEAT","DXOTHSX","YNUNK","U","Unknown","2010-12-06 07:13:10.0"
"PDFEAT","DXPOSINS","YNUNK","0","No","2010-12-06 07:13:10.0"
"PDFEAT","DXPOSINS","YNUNK","1","Yes","2010-12-06 07:13:10.0"
"PDFEAT","DXPOSINS","YNUNK","U","Unknown","2010-12-06 07:13:10.0"
"PDFEAT","DXRIGID","YNUNK","0","No","2010-12-06 07:13:10.0"
"PDFEAT","DXRIGID","YNUNK","1","Yes","2010-12-06 07:13:10.0"
"PDFEAT","DXRIGID","YNUNK","U","Unknown","2010-12-06 07:13:10.0"
"PDFEAT","DXTREMOR","YNUNK","0","No","2010-12-06 07:13:10.0"
"PDFEAT","DXTREMOR","YNUNK","1","Yes","2010-12-06 07:13:10.0"
"PDFEAT","DXTREMOR","YNUNK","U","Unknown","2010-12-06 07:13:10.0"
"PDFEAT","PDDXEST","DATEEST","ACT","Actual date","2010-12-06 07:13:10.0"
"PDFEAT","PDDXEST","DATEEST","DAY","Day estimated","2010-12-06 07:13:10.0"
"PDFEAT","PDDXEST","DATEEST","MD","Month and Day estimated","2010-12-06 07:13:10.0"
"PDFEAT","PDDXEST","DATEEST","MON","Month estimated","2010-12-06 07:13:10.0"
"PDMEDUSE","FULNUPDR","YN","0","No","2010-12-06 07:13:10.0"
"PDMEDUSE","FULNUPDR","YN","1","Yes","2010-12-06 07:13:10.0"
"PDMEDUSE","PDMEDYN","YN","0","No","2010-12-06 07:13:10.0"
"PDMEDUSE","PDMEDYN","YN","1","Yes","2010-12-06 07:13:10.0"
"PECN","CN11RSP","ABNORM","0","Normal","2010-12-06 07:13:10.0"
"PECN","CN11RSP","ABNORM","1","Abnormal","2010-12-06 07:13:10.0"
"PECN","CN11RSP","ABNORM","2","Not tested","2010-12-06 07:13:10.0"
"PECN","CN11RSP","ABNORM","3","Unable to test","2010-12-06 07:13:10.0"
"PECN","CN12RSP","ABNORM","0","Normal","2010-12-06 07:13:10.0"
"PECN","CN12RSP","ABNORM","1","Abnormal","2010-12-06 07:13:10.0"
